meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1218,9157,31,4,2023-09-03T13:27:55.236000+00:00,28.339,30.071,29.172,306.0,322.0,False,87.582,"[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049]",327.0
1218,9157,10,4,2023-09-03T13:27:55.657000+00:00,28.432,30.029,29.011,,326.0,False,87.472,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049]",325.0
1218,9157,20,4,2023-09-03T13:27:56.970000+00:00,29.2,30.783,29.269,310.0,315.0,False,89.252,"[None, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049]",320.0
1218,9157,18,4,2023-09-03T13:27:57.407000+00:00,28.152,30.384,29.189,312.0,315.0,False,87.725,"[None, 2051, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]",351.0
1218,9157,55,5,2023-09-03T13:29:08.297000+00:00,28.308,29.622,28.493,304.0,301.0,False,86.423,"[None, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",
1218,9157,1,5,2023-09-03T13:29:08.907000+00:00,28.155,29.514,28.507,,321.0,False,86.176,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]",317.0
1218,9157,16,5,2023-09-03T13:29:09.875000+00:00,28.042,29.611,28.613,,322.0,False,86.266,"[None, 2049, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",327.0
1218,9157,63,5,2023-09-03T13:29:11.422000+00:00,28.172,29.656,28.421,308.0,314.0,False,86.249,"[None, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048]",333.0
1218,9157,11,5,2023-09-03T13:29:11.922000+00:00,28.33,29.673,28.351,309.0,325.0,False,86.354,"[None, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",340.0
1218,9157,23,5,2023-09-03T13:29:14.172000+00:00,28.009,29.945,28.914,313.0,315.0,False,86.868,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",329.0
